WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
1/01/2007 9:00,15.5,200,26,44.27,1007,1010.4,1010.6,0,63.6,6,664,26.1,29.2,28.2,26,10,22.75
1/01/2007 9:10,15.7,203,30,44.56,1007,1010.4,1010.6,0,62.2,5,702,26.1,29.2,28.2,26,8,23.3
1/01/2007 9:20,15.9,226,28,44.9,1006.8,1010.2,1010.4,0,62.7,7,711,26.2,29.1,28.2,26,15,23.38
1/01/2007 9:30,16.1,233,29,45.28,1006.8,1010.2,1010.4,0,62.9,8,754,26.3,29.1,28.2,26,14,23.56
1/01/2007 9:40,16.1,234,26,45.69,1006.9,1010.3,1010.5,0,63.1,9,780,26.4,29,28.2,26,16,23.57
1/01/2007 9:50,16.7,237,24,46.08,1006.9,1010.3,1010.5,0,63.1,8,809,26.6,29,28.2,26,16,24.16
1/01/2007 10:00,16.6,219,29,46.44,1006.9,1010.3,1010.5,0,63.5,7,837,26.7,28.9,28.2,26,14,24
1/01/2007 10:10,16.8,223,32,46.82,1006.9,1010.3,1010.5,0,62.4,7,868,26.9,28.9,28.2,26,13,24.42
1/01/2007 10:20,17.2,240,28,47.25,1006.8,1010.2,1010.4,0,63.4,9,893,27.1,28.9,28.2,26,17,24.57
1/01/2007 10:30,17.4,228,34,47.65,1006.7,1010.1,1010.3,0,64.5,8,918,27.3,28.8,28.2,26,15,24.55
1/01/2007 10:40,16.8,235,32,48.04,1006.8,1010.2,1010.4,0,61.9,7,946,27.6,28.8,28.2,26,14,24.55
1/01/2007 10:50,16.6,240,26,48.51,1006.8,1010.2,1010.4,0,60.4,9,963,27.8,28.8,28.2,26,16,24.77
1/01/2007 11:00,16.1,239,34,48.96,1006.8,1010.2,1010.4,0,59,8,979,28.1,28.8,28.2,26,14,24.61
1/01/2007 11:10,15.6,1,65,49.41,1006.8,1010.2,1010.4,0,59.2,8,1004,28.3,28.7,28.2,26,16,24.09
1/01/2007 11:20,16.3,232,30,49.87,1006.6,1010,1010.2,0,58.3,8,1008,28.6,28.7,28.2,26,14,25.08
1/01/2007 11:30,15.8,235,27,50.4,1006.6,1010,1010.2,0,57.8,10,1030,28.9,28.7,28.2,26,16,24.67
1/01/2007 11:40,16.3,232,29,50.88,1006.6,1010,1010.2,0,57.1,8,1045,29.2,28.7,28.2,26,15,25.37
1/01/2007 11:50,15.2,220,29,51.38,1006.6,1010,1010.2,0,54.4,8,1048,29.5,28.6,28.2,26,15,25.08
1/01/2007 12:00,14.5,231,30,51.93,1006.6,1010,1010.2,0,52.4,9,1055,29.8,28.6,28.2,26,17,24.87
1/01/2007 12:10,13.9,226,28,52.5,1006.7,1010.1,1010.3,0,50.4,9,1067,30.1,28.6,28.2,26,17,24.95
1/01/2007 12:20,15.1,232,32,53.11,1006.7,1010.1,1010.3,0,51.1,10,1073,30.4,28.6,28.1,26,17,25.96
1/01/2007 12:30,12.9,240,25,53.81,1006.7,1010.1,1010.3,0,45.8,11,1067,30.7,28.6,28.2,26,17,25.48
1/01/2007 12:40,14,270,77,54.35,1006.6,1010,1010.2,0,50.2,8,1073,31,28.6,28.1,26,17,25.11
1/01/2007 12:50,14.4,227,35,54.91,1006.6,1010,1010.2,0,51.5,9,1060,31.3,28.5,28.1,26,16,25.08
1/01/2007 13:00,14.5,237,29,55.51,1006.6,1010,1010.2,0,51.5,10,1061,31.6,28.6,28.1,26,18,25.25
